query_file	 query_genome_length
NC_009548_1.fa.xml	 2745
NC_014329_2.fa.xml	 2337241
NC_012704_1.fa.xml	 2446804
NC_017923_1.fa.xml	 45361
NC_048790_1.fa.xml	 45644
NC_048813_1.fa.xml	 66892
NC_026592_1.fa.xml	 7531
NC_005066_1.fa.xml	 164018
NC_042011_1.fa.xml	 133047
NC_048064_1.fa.xml	 45185
NC_021028_1.fa.xml	 2037254
NC_040728_1.fa.xml	 7292
NC_017038_1.fa.xml	 3570004
NC_025837_1.fa.xml	 5820
NC_014155_1.fa.xml	 19774
NC_038491_1.fa.xml	 2185
NC_025247_1.fa.xml	 1783
NC_048296_1.fa.xml	 5736
NC_049353_1.fa.xml	 30862
NC_012490_1.fa.xml	 6516310
NC_028974_1.fa.xml	 56528
NC_048166_1.fa.xml	 88403
NC_011023_1.fa.xml	 52892
NC_015158_1.fa.xml	 49675
NC_030137_1.fa.xml	 2782
NC_013419_1.fa.xml	 3448
NC_020180_1.fa.xml	 162202
NC_038917_1.fa.xml	 1567
NC_040754_1.fa.xml	 6868
NC_004842_2.fa.xml	 1197687
NC_022610_1.fa.xml	 27326
NC_030888_1.fa.xml	 2121
NC_007013_1.fa.xml	 2249
NC_025416_1.fa.xml	 141907
NC_010556_1.fa.xml	 3034136
NC_047909_1.fa.xml	 61716
NC_040485_1.fa.xml	 3620
NC_038335_1.fa.xml	 2448
NC_013208_1.fa.xml	 7907
NC_004650_1.fa.xml	 2828
NC_035214_1.fa.xml	 7586
NC_020897_1.fa.xml	 3486
NC_029639_1.fa.xml	 1627
NC_017730_4.fa.xml	 2404921
NC_010644_1.fa.xml	 1643562
NC_027919_1.fa.xml	 8087
NC_049808_1.fa.xml	 57909
NC_040337_1.fa.xml	 2054
NC_020955_1.fa.xml	 7500
NC_009741_1.fa.xml	 9804
NC_043405_1.fa.xml	 13628
NC_021227_2.fa.xml	 16105
NC_038378_1.fa.xml	 7203
NC_011229_1.fa.xml	 931674
NC_008575_1.fa.xml	 6662
NC_016636_1.fa.xml	 17830
NC_028851_1.fa.xml	 37995
NC_029616_1.fa.xml	 3091
NC_022369_1.fa.xml	 2427048
NC_004116_1.fa.xml	 2160267
NC_036636_1.fa.xml	 12063
NC_043599_1.fa.xml	 4469
NC_013265_1.fa.xml	 4955
NC_027641_1.fa.xml	 4552
NC_030871_1.fa.xml	 7747
NC_040448_1.fa.xml	 1598
NC_002556_1.fa.xml	 2572
NC_031138_1.fa.xml	 6441
NC_017575_1.fa.xml	 1949172
NC_032229_1.fa.xml	 2223
NC_021896_1.fa.xml	 1038797
NC_014900_1.fa.xml	 40986
NC_007508_1.fa.xml	 5178466
